doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
6973,omission,JOB,Partnerin,149,158,,
6975,omission,LOC,Les Jardins du Lac,233,251,,
6981,boundary,MONEY,BRL 5 Mio,172,181,MONEY,BRL 5 Mio.
7024,label,JOB,ETH-Absolvent,103,116,EDU,ETH-Absolvent
7028,label,LOC,Schweizer,115,124,NATION,Schweizer
7033,boundary,EDU,HSG,66,69,EDU,HSG-Absolventin
7044,boundary,ORG,Textilimport Rossi & Co.,2,26,ORG,Rossi & Co.
7057,omission,DATE,Q4,120,122,,
7075,omission,DATE,nächste Woche,330,343,,
7075,omission,MONEY,10 Mio.,133,140,,
7130,label,EDU,ETH,293,296,JOB,ETH-Physikerin
7133,boundary,MONEY,3 Mio,191,196,MONEY,3 Mio.
7140,label,EDU,ETH-Ingenieurin,117,132,JOB,ETH-Ingenieurin
7150,boundary,ORG,Raiffeisen,210,220,ORG,Raiffeisen.
7168,omission,JOB,Sohn,251,255,,
7173,boundary,ORG,Horlogerie Suisse SA,38,58,ORG,Patron Horlogerie Suisse SA
7173,label,JOB,Patron,31,37,ORG,Patron Horlogerie Suisse SA
7187,boundary,JOB,designierte CEO,269,284,JOB,CEO
7189,omission,DATE,übermorgen,286,296,,
7192,omission,DATE,3 Monate,78,86,,
7197,boundary,AGE,28,186,188,AGE,28 Jahre
7221,boundary,EDU,HSG,133,136,EDU,HSG-Absolventin
7283,boundary,LOC,Zürich-Altstetten,373,390,LOC|LOC,Altstetten|Zürich
7283,omission,MONEY,GBP,298,301,,
7283,boundary,MONEY,ca. 2.5 Mio CHF,169,184,MONEY,2.5 Mio CHF
7286,omission,DATE,6 Monate,114,122,,
7286,omission,DATE,3 Monaten,300,309,,
7287,omission,DATE,nächstes Jahr,162,175,,
7287,omission,DATE,nächste Woche,277,290,,
7348,omission,DATE,Ende Monat,141,151,,
7354,omission,MONEY,EUR,220,223,,
7354,omission,MONEY,USD,228,231,,
7380,boundary,MONEY,CHF 12.5 Mio,98,110,MONEY,CHF 12.5 Mio.
7421,boundary,MONEY,CHF 3.5 Mio,145,156,MONEY,CHF 3.5 Mio.
7421,omission,DATE,nächste Woche,236,249,,
7467,boundary,ORG,Santos Coffee Ltd,216,233,ORG,Santos Coffee Ltd.
7481,boundary,DATE,2 Monate,419,427,DATE,2
7486,boundary,MONEY,EUR 1.5 Mio,219,230,MONEY,EUR 1.5 Mio.
7486,omission,DATE,nächste Woche,270,283,,
7490,boundary,ORG,Shanghai Machinery Corp,184,207,ORG,Shanghai Machinery Corp.
7513,omission,MONEY,USD,298,301,,
7513,omission,MONEY,EUR,290,293,,
7513,label,ORG,ETH Zürich,75,85,EDU,ETH Zürich
7514,omission,DATE,zwei Wochen,276,287,,
7526,boundary,MONEY,EUR 4.2 Mio,244,255,MONEY,EUR 4.2 Mio.
7534,boundary,LOC,Kanton Zug,222,232,LOC|LOC,Zug|Kanton
7549,label,EDU,Holzbau-Ingenieur FH,154,174,JOB,Holzbau-Ingenieur FH
7549,boundary,LOC,Kanton Obwalden,49,64,LOC,Obwalden
7549,omission,JOB,Inhaber,70,77,,
7563,boundary,ORG,Saigon Textile Ltd,94,112,ORG,Saigon Textile Ltd.
7574,label,JOB,ETH-Absolventin,99,114,EDU,ETH-Absolventin
7581,boundary,MONEY,CHF 3.2 Mio,121,132,MONEY,CHF 3.2 Mio.
7581,boundary,MONEY,2.5 Mio,162,169,MONEY,2.5 Mio.
7587,boundary,EDU,HSG,131,134,EDU,HSG-Absolvent
7602,boundary,AGE,55,245,247,AGE,55 Jahre
7604,boundary,MONEY,8 Mio.,212,218,MONEY,Umsatz 8 Mio.
7608,omission,JOB,Mitarbeiter,106,117,,
7649,boundary,MONEY,JPY 50 Mio,93,103,MONEY,JPY 50 Mio.
7670,label,EDU,ETH-Ingenieur,120,133,JOB,ETH-Ingenieur
7674,omission,MONEY,EUR,239,242,,
7674,boundary,EDU,HSG,94,97,EDU,HSG-Absolventin
7696,omission,DATE,Nachmittag,341,351,,
7696,omission,DATE,3 Monate,266,274,,
7704,label,JOB,HSG-Absolvent,115,128,EDU,HSG-Absolvent
7704,omission,DATE,nächstes Jahr,135,148,,
7707,boundary,PER,Herrn Moser,12,23,PER,Moser
7708,boundary,PER,Frau Dubois,2,13,PER,Dubois
7712,omission,JOB,Partner,157,164,,
7712,omission,MONEY,EUR,108,111,,
7716,omission,DATE,nächsten Monat,134,148,,
7717,label,ORG,CS,242,244,EDU,CS
7720,omission,MONEY,USD,135,138,,
7720,label,JOB,HSG-Absolvent,188,201,EDU,HSG-Absolvent
7720,omission,MONEY,EUR,127,130,,
